Realm Id,Realm Name
1,SportingPulse
2,FootyWeb
3,Rugby League
4,AU Water Polo
5,AU Hockey - OLD
6,TEST
7,Football Federation Australia
8,OceaniaSport
9,AU Volleyball
10,AU Lacrosse
11,Touch Football
12,Maccabi Games
13,FIBA
14,TRAINING
15,Triathlon NZ
16,QGSSSA
17,Fencing
18,NZ Volleyball
19,Special Olympics
20,NZ Football
21,AU Table Tennis
22,Pacific School Games
23,Lawn Bowls
24,Homeless World Cup
25,IBAF
26,RDCA
27,NZ Touch
28,NZ Netball
29,IFNA
30,Ten Pin Bowling
31,Motorcycling Australia OLD (DO NOT USE)
32,NZ Hockey
33,ARFSU
34,Events
35,PIG PEN
36,Ice Skating Australia
37,Calisthenic
38,Motorcycling Australia v2
39,AFL Club Payments
40,Bowls NZ
41,Team Poker
42,NZ Events
43,MA Clubs
44,PFA
45,NRL Payments
46,AU Netball
47,Deaf Sport
48,Australian Deaf Games
49,Cricket Australia
50,FFA Payments
51,Disabled Winter Sports
52,FIBA 33
53,SportingPulse Internal Payments
54,UK Touch
55,Badminton NZ
56,Associated & Catholic Colleges
57,International Touch
58,AU Baseball
59,Payments
60,FIFA
61,Private Providers
62,Australian Sailing
63,NZ Water Polo
64,SPIL Misc
65,Australian Ice Racing
66,Softball
67,OzTag
68,Hockey Australia
69,School Sport Australia
70,FORO
71,NZ Tag
72,Adelaide Schools
73,Ice Skating
74,NZ Universities
75,AU Universities
76,Belgravia Leisure
77,All Sorts Indoor Sports
78,Creative Kids
79,Guam Football
80,Hong Kong Rugby Union
81,Police Games
82,Swimming
